"date"	"time"	"long"	"lat"	"mag"
"2002-02-25"	"14:22:35.00"	"54.7100"	"39.2400"	"4.4"
"2002-07-14"	"22:35:09.00"	"59.4500"	"37.4500"	"4.1"
"2002-07-26"	"11:45:29.00"	"55.0200"	"39.1200"	"4.5"
"2002-09-11"	"16:20:35.00"	"55.9400"	"38.5100"	"4.4"
"2002-11-19"	"15:57:10.00"	"54.9520"	"39.0810"	"5.1"
"2002-11-27"	"04:55:28.00"	"56.3320"	"37.0080"	"4.5"
"2002-11-30"	"20:31:18.00"	"55.0600"	"39.0500"	"4.4"
"2002-12-21"	"08:37:55.00"	"57.0100"	"36.6100"	"4.3"
"2003-03-12"	"00:30:05.00"	"55.3420"	"37.3240"	"4.6"
"2003-05-02"	"18:46:50.00"	"61.2450"	"35.8190"	"4.7"
"2003-07-03"	"14:59:27.00"	"60.7990"	"35.4920"	"5.1"
"2003-07-03"	"18:46:19.00"	"61.1000"	"35.7700"	"4.1"
"2003-09-11"	"14:00:35.00"	"57.2400"	"38.0600"	"4.5"
"2003-09-15"	"18:15:50.00"	"56.9300"	"37.5300"	"4.6"
"2003-11-05"	"05:02:40.00"	"57.3780"	"38.3970"	"4.8"
"2003-11-18"	"05:37:40.00"	"57.3000"	"37.7000"	"4.6"
"2003-11-19"	"08:26:43.00"	"57.6000"	"38.0400"	"4.4"
"2003-12-22"	"19:13:06.00"	"56.7830"	"37.1880"	"4.7"
"2004-02-25"	"04:16:32.00"	"59.1600"	"36.5900"	"4.6"
"2004-03-07"	"03:57:03.00"	"54.7800"	"39.5000"	"4.5"
"2004-04-13"	"01:44:33.00"	"55.7300"	"36.8300"	"4.0"
"2004-08-21"	"03:32:41.00"	"57.6540"	"37.9140"	"4.8"
"2004-11-01"	"20:20:14.00"	"55.8300"	"37.1400"	"4.8"
"2004-11-26"	"01:40:19.00"	"57.1100"	"37.3700"	"4.4"
"2004-12-01"	"01:13:11.00"	"53.9360"	"39.4680"	"4.4"
"2004-12-17"	"20:08:04.00"	"58.1800"	"36.3300"	"4.4"
"2005-05-26"	"19:52:18.00"	"57.8300"	"38.3700"	"4.5"
"2005-07-31"	"22:53:16.00"	"56.3950"	"37.9450"	"4.5"
"2005-08-07"	"17:23:45.00"	"58.5530"	"36.5820"	"4.8"
"2005-08-17"	"20:55:24.00"	"57.6100"	"38.3300"	"4.4"
"2005-09-03"	"07:54:06.00"	"55.6200"	"37.3200"	"4.1"
"2006-03-15"	"09:49:29.00"	"56.3500"	"39.0400"	"4.8"
"2006-09-16"	"10:42:54.00"	"57.7460"	"37.5380"	"4.5"
"2006-11-11"	"17:03:55.00"	"55.6000"	"37.4340"	"4.2"
"2006-12-19"	"08:57:11.00"	"59.1800"	"35.6450"	"4.4"
"2007-04-21"	"08:04:42.00"	"56.7060"	"37.6490"	"4.1"
"2007-08-13"	"04:37:21.00"	"56.5550"	"37.0910"	"4.2"
"2007-08-19"	"13:45:37.00"	"55.5540"	"38.6420"	"4.7"
"2007-08-21"	"04:53:30.00"	"57.4510"	"37.8320"	"4.8"
"2008-03-18"	"03:56:49.00"	"55.6230"	"36.8210"	"4.3"
"2008-08-01"	"22:44:39.00"	"55.6810"	"37.5270"	"4.2"
"2008-08-09"	"16:05:43.00"	"56.9820"	"36.9970"	"4.0"
"2008-11-16"	"06:39:40.00"	"57.9820"	"36.8640"	"4.5"
"2009-01-12"	"18:11:42.00"	"60.0600"	"35.2610"	"4.2"
"2009-02-23"	"19:28:31.00"	"57.9530"	"36.4550"	"4.1"
"2009-02-24"	"00:40:07.00"	"57.9680"	"36.4480"	"4.1"
"2009-04-07"	"06:00:32.00"	"56.6530"	"37.3120"	"5.2"
"2009-12-31"	"23:16:37.00"	"58.3710"	"38.0650"	"4.1"
"2010-01-31"	"13:50:05.00"	"57.4720"	"37.2150"	"4.8"
"2010-03-19"	"01:52:10.00"	"55.6160"	"38.5260"	"4.3"
"2010-04-19"	"03:31:14.00"	"56.7580"	"37.5590"	"4.6"
"2010-07-23"	"00:56:41.00"	"57.0090"	"37.7210"	"4.6"
"2010-08-11"	"17:26:22.00"	"57.1450"	"37.8460"	"4.7"
"2010-08-28"	"00:46:56.00"	"54.3950"	"39.4750"	"4.7"
"2010-09-01"	"19:28:01.00"	"57.4220"	"36.5100"	"4.4"
"2010-09-21"	"08:22:57.00"	"59.7570"	"36.6640"	"4.3"
"2010-11-05"	"23:00:44.00"	"59.4460"	"37.0270"	"4.2"
"2011-01-15"	"14:24:11.00"	"58.0880"	"37.4880"	"4.4"
"2011-02-08"	"06:24:21.00"	"55.5280"	"36.5540"	"5.0"
"2011-04-03"	"17:32:29.00"	"57.4130"	"37.1950"	"4.7"
"2011-06-17"	"19:55:42.00"	"57.0210"	"37.7360"	"4.9"
"2011-07-26"	"04:04:10.00"	"56.9340"	"36.5770"	"5.3"
"2011-11-09"	"01:20:41.00"	"55.8220"	"37.8390"	"4.9"
"2011-12-08"	"20:04:31.00"	"57.5580"	"37.1760"	"5.2"
"2011-12-26"	"01:49:13.00"	"57.6300"	"37.5710"	"5.0"
"2012-01-19"	"12:35:51.00"	"58.8350"	"36.2880"	"5.3"
"2012-01-19"	"17:42:26.00"	"58.8840"	"36.3000"	"4.2"
"2012-02-03"	"19:07:37.00"	"55.8850"	"38.1300"	"4.4"
"2012-04-16"	"04:22:21.00"	"57.0870"	"37.3700"	"4.1"
"2012-05-02"	"16:44:34.00"	"55.6590"	"36.5990"	"4.4"
"2012-09-08"	"03:17:37.00"	"55.6370"	"38.6440"	"4.2"
"2012-11-01"	"08:43:50.00"	"55.5720"	"38.6370"	"4.9"
"2012-11-01"	"08:51:17.00"	"55.5870"	"38.6700"	"4.0"
"2012-11-02"	"20:19:49.00"	"55.5690"	"38.6030"	"4.1"
"2012-12-25"	"08:45:46.40"	"57.4370"	"37.8440"	"3.8"
"2012-12-26"	"08:18:13.20"	"57.4610"	"37.7860"	"3.0"
"2012-12-26"	"17:40:25.20"	"57.3970"	"37.8520"	"3.7"
"2012-12-26"	"20:44:00.05"	"59.5120"	"37.0970"	"3.1"
"2012-12-30"	"15:54:00.60"	"55.5850"	"37.2600"	"3.2"
"2013-01-01"	"20:00:16.10"	"56.3180"	"37.1230"	"3.0"
"2013-01-12"	"22:12:03.40"	"60.7490"	"35.4350"	"4.2"
"2013-01-14"	"00:00:22.50"	"56.3190"	"36.8860"	"3.2"
"2013-01-14"	"06:04:40.80"	"56.2540"	"36.8580"	"4.2"
"2013-01-16"	"17:49:01.80"	"60.0650"	"37.3010"	"3.3"
"2013-01-18"	"21:20:45.10"	"57.1260"	"38.5210"	"3.2"
"2013-01-19"	"01:12:03.10"	"59.9300"	"35.9090"	"3.2"
"2013-01-19"	"02:40:40.50"	"57.1430"	"38.7120"	"3.2"
"2013-01-23"	"17:58:28.40"	"57.3930"	"38.3250"	"3.8"
"2013-01-24"	"21:04:55.20"	"58.8790"	"36.3030"	"3.2"
"2013-01-26"	"13:22:29.00"	"57.6280"	"37.1460"	"3.2"
"2013-01-29"	"01:42:02.90"	"61.1700"	"36.1220"	"3.3"
"2013-01-30"	"09:00:31.90"	"57.0530"	"38.4360"	"3.7"
"2013-01-30"	"15:14:13.80"	"56.6830"	"37.1890"	"3.5"
"2013-02-01"	"12:27:51.30"	"59.8180"	"36.5950"	"3.1"
"2013-02-01"	"20:05:39.80"	"57.5890"	"37.4320"	"3.2"
"2013-02-04"	"04:47:22.10"	"56.9270"	"37.2590"	"3.0"
"2013-02-05"	"23:02:46.50"	"56.6190"	"37.1860"	"3.5"
"2013-02-09"	"22:04:35.20"	"58.5340"	"37.8700"	"3.3"
"2013-02-11"	"22:58:00.54"	"55.9770"	"37.9370"	"3.3"
"2013-02-12"	"12:26:56.80"	"57.3470"	"37.3340"	"4.3"
"2013-02-12"	"17:37:22.00"	"57.3690"	"37.3170"	"4.1"
"2013-02-19"	"17:56:24.30"	"55.7930"	"36.8940"	"3.0"
"2013-02-23"	"10:52:02.90"	"57.6820"	"38.0750"	"3.0"
"2013-02-23"	"23:12:32.40"	"55.7320"	"38.9490"	"4.5"
"2013-02-26"	"13:54:39.40"	"54.5160"	"39.5410"	"4.6"
"2013-02-28"	"11:06:00.01"	"57.5760"	"38.1660"	"4.7"
"2013-02-28"	"15:25:03.10"	"56.3360"	"36.8610"	"3.4"
"2013-02-28"	"17:00:04.30"	"57.4800"	"38.1320"	"3.0"
"2013-03-01"	"05:33:38.90"	"57.6630"	"38.2760"	"3.8"
"2013-03-02"	"00:32:58.90"	"57.4000"	"37.8430"	"3.0"
"2013-03-04"	"14:45:44.70"	"57.5860"	"38.1260"	"3.8"
"2013-03-05"	"15:48:45.30"	"55.5670"	"37.3350"	"3.3"
"2013-03-06"	"22:45:20.40"	"59.6590"	"35.9050"	"3.2"
"2013-03-07"	"15:17:00.46"	"57.3180"	"38.3930"	"3.3"
"2013-03-07"	"15:48:40.50"	"57.4810"	"37.2560"	"3.2"
"2013-03-07"	"23:15:44.30"	"56.1900"	"37.4310"	"3.0"
"2013-03-23"	"07:32:36.90"	"56.8320"	"38.0030"	"3.5"
"2013-03-25"	"13:39:24.30"	"55.8390"	"37.0870"	"3.2"
"2013-03-27"	"15:26:43.20"	"55.9410"	"37.0500"	"3.2"
"2013-03-28"	"05:30:07.80"	"56.1230"	"37.0760"	"3.2"
"2013-03-30"	"23:18:16.40"	"58.5390"	"36.9980"	"3.5"
"2013-04-03"	"01:49:00.40"	"56.8890"	"37.8780"	"3.2"
"2013-04-08"	"01:10:41.50"	"57.7580"	"37.9190"	"3.2"
"2013-04-09"	"10:11:53.00"	"57.4790"	"37.6180"	"3.0"
"2013-04-09"	"10:45:00.39"	"61.0660"	"35.7200"	"3.4"
"2013-04-10"	"05:53:59.50"	"57.7470"	"37.6930"	"3.3"
"2013-04-16"	"14:33:11.90"	"57.5780"	"37.1380"	"3.5"
"2013-04-17"	"01:55:42.40"	"53.7440"	"39.7500"	"4.2"
"2013-04-20"	"15:32:55.10"	"56.0830"	"37.4060"	"3.5"
"2013-04-24"	"17:44:01.40"	"59.1550"	"36.8750"	"3.4"
"2013-04-30"	"02:00:00.13"	"57.3250"	"37.3910"	"4.2"
"2013-05-10"	"15:44:54.10"	"57.3840"	"37.3460"	"3.5"
"2013-05-10"	"15:55:00.09"	"57.3520"	"37.3620"	"4.4"
"2013-05-20"	"15:32:19.70"	"57.4620"	"37.9730"	"3.5"
"2013-05-24"	"01:52:04.50"	"56.0070"	"37.0300"	"3.3"
"2013-05-25"	"02:50:00.50"	"57.7080"	"37.0910"	"3.2"
"2013-05-25"	"14:57:16.00"	"60.9310"	"37.0410"	"3.3"
"2013-05-26"	"12:36:36.40"	"57.4670"	"38.2990"	"3.4"
"2013-05-26"	"15:56:52.50"	"57.2790"	"38.0110"	"3.1"
"2013-05-28"	"12:37:00.14"	"59.9610"	"37.0480"	"3.1"
"2013-05-29"	"10:52:20.90"	"58.5760"	"36.0880"	"3.8"
"2013-05-30"	"06:26:24.00"	"57.5300"	"37.6070"	"3.0"
"2013-05-30"	"07:07:00.40"	"57.6220"	"38.1530"	"3.0"
"2013-05-30"	"17:14:55.30"	"59.8160"	"36.1320"	"3.0"
"2013-06-04"	"22:32:59.50"	"55.5140"	"37.8940"	"3.5"
"2013-06-05"	"09:29:06.90"	"56.6820"	"37.3290"	"3.2"
"2013-06-09"	"19:19:25.80"	"58.3990"	"36.3240"	"3.2"
"2013-06-13"	"04:54:55.20"	"57.1660"	"37.9540"	"3.2"
"2013-06-15"	"14:41:14.00"	"59.7740"	"36.7140"	"3.0"
"2013-06-23"	"23:58:51.50"	"55.4930"	"36.4710"	"4.0"
"2013-06-26"	"12:16:00.80"	"60.1630"	"35.8210"	"3.8"
"2013-06-29"	"00:52:04.10"	"56.6910"	"38.4990"	"3.2"
"2013-07-01"	"01:36:01.30"	"58.3640"	"38.0380"	"4.2"
"2013-07-01"	"07:01:34.90"	"58.1410"	"37.1880"	"3.1"
"2013-07-05"	"00:14:46.20"	"59.7430"	"35.3910"	"3.2"
"2013-07-05"	"05:31:54.80"	"55.6630"	"37.0320"	"3.2"
"2013-07-19"	"20:34:18.40"	"57.1360"	"36.5300"	"3.1"
"2013-07-21"	"14:00:36.40"	"60.7890"	"34.8740"	"3.2"
"2013-07-21"	"14:58:30.20"	"59.7620"	"35.4470"	"3.2"
"2013-07-23"	"15:37:56.50"	"56.0620"	"37.8860"	"3.1"
"2013-07-24"	"02:50:58.70"	"59.1680"	"36.3430"	"3.1"
"2013-07-25"	"22:11:58.80"	"57.8030"	"36.3640"	"3.3"
"2013-07-27"	"21:39:00.09"	"56.3450"	"36.9820"	"4.2"
"2013-08-02"	"16:47:39.80"	"55.4660"	"37.0670"	"3.2"
"2013-08-03"	"04:31:16.40"	"56.3450"	"36.9640"	"3.0"
"2013-08-04"	"21:38:43.50"	"56.3420"	"36.9330"	"4.3"
"2013-08-07"	"07:04:18.00"	"57.5130"	"37.6590"	"3.0"
"2013-08-09"	"02:25:00.06"	"59.4070"	"37.0140"	"3.9"
"2013-08-09"	"05:44:53.00"	"59.2790"	"36.0610"	"3.0"
"2013-08-09"	"11:43:38.20"	"55.6720"	"38.4130"	"4.2"
"2013-08-09"	"18:00:22.30"	"56.3600"	"36.9660"	"3.7"
"2013-08-18"	"14:45:00.35"	"57.2810"	"37.4060"	"3.0"
"2013-08-18"	"16:42:06.30"	"55.5110"	"36.9560"	"3.5"
"2013-08-21"	"10:55:53.70"	"55.2840"	"36.5560"	"3.0"
"2013-08-22"	"12:37:50.10"	"60.7150"	"35.6350"	"3.2"
"2013-08-24"	"09:01:21.00"	"56.3830"	"36.9650"	"3.2"
"2013-08-30"	"18:39:40.50"	"56.8650"	"37.4880"	"3.2"
"2013-09-04"	"12:34:16.70"	"59.5000"	"37.0060"	"3.0"
"2013-09-05"	"12:00:43.90"	"54.7900"	"39.4690"	"4.5"
"2013-09-08"	"05:11:47.80"	"57.6560"	"37.3160"	"3.2"
"2013-09-08"	"20:38:59.80"	"55.4930"	"36.9380"	"3.7"
"2013-09-09"	"17:26:22.20"	"59.3550"	"36.8930"	"3.0"
"2013-09-11"	"04:53:02.80"	"57.5760"	"37.3880"	"3.2"
"2013-09-12"	"00:22:26.50"	"59.6200"	"35.3910"	"3.2"
"2013-09-13"	"11:52:30.90"	"55.7530"	"37.1210"	"3.3"
"2013-09-23"	"02:08:19.40"	"58.5270"	"37.0440"	"3.0"
"2013-09-23"	"21:58:51.80"	"53.9650"	"39.6900"	"4.2"
"2013-09-23"	"23:30:25.80"	"56.4580"	"38.2730"	"3.7"
"2013-09-24"	"09:43:57.00"	"55.9260"	"37.1750"	"3.2"
"2013-09-24"	"15:47:21.90"	"56.8850"	"37.2410"	"3.2"
"2013-09-25"	"14:43:52.50"	"57.7660"	"37.4610"	"4.4"
"2013-09-25"	"21:46:03.20"	"57.8160"	"37.4150"	"3.0"
"2013-09-26"	"13:14:47.40"	"59.7230"	"36.5800"	"3.0"
"2013-09-27"	"23:30:12.50"	"55.6330"	"37.4170"	"3.0"
"2013-09-29"	"10:51:37.80"	"55.4890"	"37.1670"	"3.2"
"2013-09-30"	"15:06:00.34"	"55.5100"	"37.3860"	"3.0"
"2013-10-05"	"12:39:00.05"	"56.0910"	"37.3700"	"4.2"
"2013-10-07"	"13:03:45.30"	"60.9670"	"35.2190"	"3.2"
"2013-10-08"	"10:43:00.20"	"60.9030"	"35.0020"	"3.2"
"2013-10-09"	"17:52:00.29"	"57.5850"	"37.7930"	"3.1"
"2013-10-10"	"08:23:06.20"	"60.7460"	"35.6150"	"3.3"
"2013-10-10"	"14:59:54.80"	"56.7440"	"37.9800"	"3.0"
"2013-10-10"	"15:19:00.04"	"56.7130"	"38.0600"	"3.2"
"2013-10-13"	"18:48:48.30"	"57.4440"	"37.7540"	"3.4"
"2013-10-14"	"23:49:36.10"	"55.6180"	"36.5580"	"3.1"
"2013-10-15"	"17:02:50.00"	"55.6200"	"36.5950"	"3.1"
"2013-10-17"	"21:24:02.70"	"55.4210"	"37.3690"	"3.4"
"2013-10-18"	"13:43:00.49"	"58.4570"	"36.8700"	"3.1"
"2013-10-22"	"07:07:08.20"	"57.4430"	"37.3720"	"3.0"
"2013-10-24"	"09:32:01.00"	"56.7350"	"37.4790"	"3.1"
"2013-10-27"	"17:10:59.10"	"56.9130"	"37.4410"	"3.2"
"2013-10-27"	"17:51:40.20"	"59.7190"	"35.3520"	"3.5"
"2013-10-30"	"05:53:51.50"	"57.3770"	"36.3830"	"3.0"
"2013-10-31"	"20:29:31.20"	"57.6690"	"37.5560"	"3.8"
"2013-11-02"	"13:20:10.90"	"58.2920"	"36.9630"	"3.1"
"2013-11-10"	"13:44:16.00"	"57.3640"	"38.0850"	"3.1"
"2013-11-19"	"04:58:33.30"	"58.5850"	"37.0450"	"3.4"
"2013-11-21"	"20:07:00.34"	"57.2860"	"38.0790"	"3.2"
"2013-11-22"	"01:35:32.40"	"57.4480"	"38.0240"	"3.0"
"2013-11-23"	"05:36:46.20"	"55.9570"	"37.8990"	"3.1"
"2013-11-30"	"01:44:00.29"	"58.9470"	"36.3730"	"3.0"
"2013-11-30"	"23:28:13.40"	"57.1020"	"38.0540"	"3.0"
"2013-12-02"	"04:18:11.20"	"57.3780"	"37.8950"	"3.1"
"2013-12-07"	"09:07:55.50"	"58.4580"	"36.9370"	"3.0"
"2013-12-07"	"23:12:41.10"	"58.4890"	"36.7750"	"4.6"
"2013-12-09"	"10:11:00.59"	"58.5100"	"36.8070"	"3.9"
"2013-12-09"	"11:33:50.80"	"55.5540"	"38.6200"	"5.3"
"2013-12-09"	"12:38:42.30"	"55.6800"	"38.4160"	"3.8"
"2013-12-09"	"14:21:34.40"	"55.6240"	"38.4510"	"3.8"
"2013-12-09"	"22:55:31.70"	"55.5850"	"38.6180"	"3.7"
"2013-12-09"	"23:19:44.20"	"55.5590"	"38.5340"	"4.7"
"2013-12-10"	"03:42:31.30"	"55.5330"	"38.5630"	"3.9"
"2013-12-11"	"18:09:18.10"	"58.4800"	"36.7890"	"3.4"
"2013-12-12"	"05:12:00.44"	"55.2770"	"38.5390"	"3.3"
"2013-12-12"	"19:03:26.10"	"56.0170"	"38.1930"	"3.6"
"2013-12-13"	"14:13:28.00"	"55.7960"	"38.1630"	"3.5"
"2013-12-13"	"16:24:40.90"	"55.9800"	"38.0070"	"3.5"
"2013-12-15"	"22:42:30.00"	"59.1170"	"36.8800"	"3.1"
"2013-12-16"	"16:46:17.80"	"55.5700"	"38.4770"	"3.2"
"2013-12-22"	"21:45:27.00"	"55.5210"	"38.5250"	"3.3"
"2013-12-26"	"05:09:10.50"	"59.7380"	"35.3720"	"3.3"
"2013-12-27"	"11:25:00.28"	"57.4300"	"36.4710"	"4.4"
"2013-12-28"	"11:34:55.00"	"55.9590"	"37.0320"	"4.1"
"2014-01-01"	"08:11:11.30"	"57.8430"	"38.2790"	"3.0"
"2014-01-01"	"11:01:26.70"	"57.1450"	"37.2950"	"3.8"
"2014-01-01"	"15:36:50.30"	"57.6990"	"36.8900"	"3.2"
"2014-01-02"	"13:31:00.52"	"58.5030"	"36.7930"	"4.1"
"2014-01-10"	"23:07:33.40"	"55.0540"	"38.4220"	"4.2"
"2014-01-11"	"03:15:29.20"	"56.2190"	"39.0470"	"3.2"
"2014-01-12"	"03:13:36.20"	"58.4750"	"36.7890"	"3.1"
"2014-01-14"	"22:56:37.20"	"55.4480"	"37.4870"	"3.7"
"2014-01-28"	"16:16:30.20"	"58.2900"	"36.3710"	"4.7"
"2014-01-29"	"14:48:04.10"	"58.7110"	"36.4090"	"3.2"
"2014-02-02"	"01:20:53.40"	"60.9040"	"35.5390"	"4.1"
"2014-02-02"	"07:51:52.80"	"60.6990"	"35.5190"	"3.3"
"2014-02-02"	"08:11:59.00"	"60.6350"	"35.4850"	"3.2"
"2014-02-07"	"01:31:09.40"	"58.8220"	"37.1450"	"3.0"
"2014-02-11"	"19:12:09.80"	"56.4270"	"38.2420"	"3.5"
"2014-02-12"	"04:35:46.10"	"57.5340"	"37.7290"	"3.1"
"2014-02-13"	"08:35:49.30"	"56.2940"	"38.6140"	"5.1"
"2014-02-13"	"14:11:59.20"	"56.3780"	"38.3580"	"3.0"
"2014-02-13"	"19:51:26.00"	"56.2930"	"38.4180"	"3.3"
"2014-02-14"	"10:11:01.10"	"58.4740"	"36.7670"	"3.2"
"2014-02-15"	"07:58:02.50"	"57.1470"	"37.1950"	"3.4"
"2014-02-15"	"12:28:07.50"	"55.7800"	"37.0080"	"3.7"
"2014-02-27"	"17:33:20.50"	"57.7070"	"37.2000"	"3.1"
"2014-02-28"	"14:34:07.20"	"53.9940"	"39.7050"	"4.1"
"2014-03-01"	"13:29:08.50"	"57.5500"	"37.8380"	"3.2"
"2014-03-03"	"07:54:00.41"	"61.0900"	"35.1720"	"3.5"
"2014-03-04"	"05:50:35.80"	"55.4820"	"37.2640"	"3.5"
"2014-03-04"	"07:34:54.20"	"58.0740"	"37.8080"	"3.3"
"2014-03-05"	"04:21:12.40"	"59.2480"	"36.0040"	"3.1"
"2014-03-05"	"05:29:57.80"	"56.8310"	"36.8490"	"3.5"
"2014-03-08"	"03:09:00.15"	"58.6100"	"36.6720"	"4.0"
"2014-03-09"	"03:26:23.50"	"58.5060"	"36.7040"	"3.0"
"2014-03-09"	"13:47:17.80"	"56.3590"	"38.3690"	"3.0"
