"date"	"time"	"long"	"lat"	"mag"
"2004-03-11"	"21:23:57.00"	"65.8800"	"25.0900"	"4.4"
"2004-03-12"	"00:48:29.00"	"62.2400"	"26.5500"	"4.2"
"2004-09-09"	"01:27:37.00"	"63.1500"	"26.5700"	"4.5"
"2004-11-11"	"10:28:05.00"	"57.4630"	"26.6730"	"4.6"
"2004-11-24"	"15:49:54.00"	"57.3400"	"27.9100"	"4.2"
"2004-12-08"	"10:04:05.00"	"57.4180"	"27.6440"	"5.0"
"2004-12-11"	"03:35:51.00"	"57.3300"	"27.6400"	"4.4"
"2005-03-13"	"03:31:21.00"	"61.8580"	"27.0770"	"6.0"
"2005-07-03"	"18:54:36.00"	"57.8900"	"26.4300"	"4.3"
"2005-08-03"	"21:40:45.00"	"59.9600"	"26.3800"	"4.5"
"2005-09-07"	"03:27:24.00"	"63.2620"	"25.9260"	"4.7"
"2005-09-11"	"03:30:36.00"	"61.1220"	"26.7930"	"4.6"
"2005-11-24"	"21:17:47.00"	"60.3040"	"25.0880"	"4.3"
"2005-11-24"	"21:26:43.00"	"60.1300"	"25.2100"	"4.3"
"2005-11-25"	"02:27:29.00"	"60.0800"	"25.8500"	"4.5"
"2006-07-18"	"23:27:04.00"	"61.1370"	"26.2350"	"5.3"
"2006-09-09"	"12:22:07.00"	"62.1130"	"25.0190"	"4.7"
"2006-11-16"	"11:22:46.00"	"57.9370"	"26.6430"	"4.4"
"2006-11-26"	"03:33:11.00"	"57.4300"	"26.8760"	"4.3"
"2006-12-28"	"19:48:44.00"	"57.6090"	"28.1090"	"4.4"
"2007-03-17"	"14:20:23.00"	"58.1410"	"26.6810"	"4.7"
"2007-04-21"	"22:01:24.00"	"60.5450"	"26.9990"	"4.0"
"2007-04-29"	"06:33:52.00"	"62.1080"	"25.2060"	"4.9"
"2007-05-06"	"04:01:00.00"	"62.9370"	"25.0380"	"4.9"
"2007-05-22"	"22:32:59.00"	"56.7050"	"27.1450"	"4.3"
"2007-08-08"	"03:28:38.00"	"65.7730"	"28.0920"	"4.5"
"2007-08-28"	"08:43:59.00"	"57.7300"	"27.8500"	"4.4"
"2007-11-18"	"14:35:03.00"	"57.4250"	"27.7560"	"4.9"
"2008-03-31"	"12:35:09.00"	"57.3580"	"27.7560"	"4.8"
"2008-05-05"	"04:17:47.00"	"65.6400"	"26.8700"	"4.5"
"2008-05-07"	"19:50:47.00"	"57.6790"	"28.0690"	"5.1"
"2008-06-27"	"16:51:31.00"	"57.4700"	"28.1070"	"4.5"
"2008-08-09"	"23:22:01.00"	"59.6040"	"25.9330"	"4.3"
"2008-08-11"	"12:54:34.00"	"59.5880"	"25.9000"	"4.4"
"2008-08-21"	"12:40:09.00"	"59.5100"	"26.1000"	"4.3"
"2008-09-13"	"08:49:15.00"	"62.4900"	"26.0600"	"4.0"
"2009-01-21"	"14:26:21.00"	"57.4270"	"27.8420"	"4.3"
"2009-02-25"	"05:03:06.00"	"62.9200"	"25.0800"	"4.5"
"2009-03-03"	"03:59:43.00"	"57.5000"	"28.1160"	"4.4"
"2009-03-05"	"10:51:11.00"	"56.7690"	"27.1660"	"4.2"
"2009-04-09"	"11:32:38.00"	"57.3920"	"27.8980"	"4.5"
"2009-04-21"	"13:13:04.00"	"60.8860"	"26.4590"	"4.0"
"2009-06-02"	"18:36:15.00"	"62.5160"	"25.1660"	"4.2"
"2009-08-07"	"18:59:27.00"	"57.4490"	"26.6800"	"4.5"
"2009-11-29"	"03:25:25.00"	"59.8930"	"26.7580"	"4.5"
"2010-04-02"	"17:47:24.00"	"59.5800"	"26.4900"	"4.4"
"2010-05-12"	"13:25:38.00"	"65.7160"	"27.2500"	"4.1"
"2010-06-23"	"11:47:55.00"	"63.4060"	"25.6040"	"4.9"
"2010-08-25"	"21:47:18.00"	"65.5770"	"27.1260"	"4.4"
"2010-11-14"	"14:49:27.00"	"57.2110"	"26.4050"	"4.2"
"2010-11-30"	"09:37:11.00"	"62.4810"	"25.1860"	"4.4"
"2010-12-17"	"07:39:21.00"	"57.8370"	"27.4330"	"4.7"
"2010-12-22"	"19:04:49.00"	"57.8870"	"26.1740"	"4.2"
"2011-01-01"	"10:29:30.00"	"57.6370"	"28.2320"	"4.0"
"2011-02-23"	"03:26:00.00"	"57.4910"	"26.7320"	"5.0"
"2011-06-15"	"01:03:22.00"	"57.6180"	"27.9060"	"5.0"
"2011-06-15"	"01:05:30.00"	"57.7660"	"27.7840"	"5.4"
"2011-06-15"	"01:10:55.00"	"57.8780"	"27.7860"	"4.3"
"2011-06-15"	"01:12:50.00"	"57.6180"	"27.8480"	"4.0"
"2011-06-15"	"02:35:53.00"	"57.5850"	"27.8620"	"4.0"
"2011-06-15"	"02:46:03.00"	"57.7280"	"27.8160"	"4.4"
"2011-07-21"	"03:09:26.00"	"59.5510"	"26.5190"	"5.2"
"2011-07-28"	"22:27:22.00"	"57.4520"	"28.1980"	"5.2"
"2011-07-29"	"13:42:27.00"	"57.7070"	"28.2880"	"4.4"
"2011-08-11"	"00:53:25.00"	"65.0820"	"27.7230"	"5.8"
"2011-11-21"	"00:40:59.00"	"57.3450"	"27.5380"	"5.0"
"2011-12-21"	"04:46:33.00"	"57.2870"	"28.0780"	"5.2"
"2012-02-28"	"18:51:09.00"	"57.3330"	"27.9890"	"4.4"
"2012-03-29"	"19:03:45.00"	"60.7320"	"25.0350"	"4.7"
"2012-04-18"	"17:40:40.00"	"58.0140"	"27.8940"	"5.1"
"2012-05-14"	"10:12:32.00"	"57.7530"	"27.9920"	"5.2"
"2012-07-12"	"23:33:58.00"	"59.4140"	"26.8040"	"4.6"
"2012-07-12"	"23:49:28.00"	"59.4400"	"26.8100"	"4.2"
"2012-11-30"	"02:23:27.00"	"62.5760"	"26.7380"	"4.5"
"2012-11-30"	"08:08:10.00"	"60.8540"	"25.0050"	"4.5"
"2013-01-26"	"03:02:51.00"	"57.2210"	"27.9410"	"3.5"
"2013-01-29"	"06:08:58.70"	"57.2570"	"27.3800"	"3.1"
"2013-01-29"	"06:38:03.80"	"57.2660"	"27.3820"	"3.1"
"2013-01-29"	"06:41:23.10"	"57.2350"	"27.3360"	"3.1"
"2013-02-07"	"13:57:26.00"	"58.0540"	"27.7200"	"3.7"
"2013-02-28"	"05:33:00.22"	"57.0040"	"27.6340"	"3.2"
"2013-02-28"	"08:52:00.32"	"57.0290"	"27.6290"	"3.2"
"2013-03-16"	"04:06:13.00"	"57.1530"	"27.8930"	"3.5"
"2013-03-19"	"14:21:07.90"	"57.7320"	"28.2710"	"3.2"
"2013-03-26"	"05:54:31.10"	"57.6080"	"28.2080"	"3.1"
"2013-03-26"	"23:14:28.30"	"57.1620"	"27.7670"	"3.2"
"2013-03-27"	"07:44:18.30"	"57.5660"	"28.1470"	"3.3"
"2013-03-28"	"03:27:09.80"	"57.5960"	"28.2800"	"3.8"
"2013-03-30"	"07:46:02.40"	"57.5360"	"28.3570"	"3.3"
"2013-04-05"	"20:10:26.30"	"57.7350"	"27.6910"	"3.8"
"2013-04-11"	"19:59:51.20"	"57.4310"	"27.9680"	"3.2"
"2013-04-11"	"20:00:43.40"	"57.3760"	"28.0190"	"3.4"
"2013-05-02"	"00:49:56.20"	"61.8720"	"26.9900"	"3.8"
